"species","n","q95","q99","median_lat","mean_lat","warm_flag","kingdom","phylum","class","order","genus","family","species_selection","speciesKey"
"Alosa sapidissima",11507,45.1753589,47.04439952,42.48,-69.15,"northern_species","Animalia","Chordata","","Clupeiformes","Alosa","Clupeidae","medium",2412661
"Aluterus heudelotii",247,40.022644,41.28607,33.933333,-76.683333,"southern_range_edge","Animalia","Chordata","","Tetraodontiformes","Aluterus","Monacanthidae","rare",2406739
"Amblyraja hyperborea",1757,74.58676,76.59798148,67.5948,-61.855,"northern_species","Animalia","Chordata","Elasmobranchii","Rajiformes","Amblyraja","Rajidae","rare",2420454
"Ammodytes americanus",37826,44.905408,49.299388,44.722323,-62.502753,"northern_species","Animalia","Chordata","","Perciformes","Ammodytes","Ammodytidae","medium",2389998
"Ammodytes hexapterus",2559,72.69804,72.69804,58.77889,-68.51291,"northern_species","Animalia","Chordata","","Perciformes","Ammodytes","Ammodytidae","medium",2389995
"Ammodytes personatus",545,49.302682,49.3028298,49.298735,-67.698241,"northern_species","Animalia","Chordata","","Perciformes","Ammodytes","Ammodytidae","medium",2389997
"Ammodytes tobianus",61,66.938889,68.78288,42.93,-63.4,"northern_species","Animalia","Chordata","","Perciformes","Ammodytes","Ammodytidae","rare",2389991
"Anarhichas denticulatus",12684,65.01985,68.0117,46.1422,-59.1408,"northern_species","Animalia","Chordata","","Perciformes","Anarhichas","Anarhichadidae","rare",2392210
"Anarhichas lupus",32448,53.05,61.45945861,45.997298,-59.187348,"northern_species","Animalia","Chordata","","Perciformes","Anarhichas","Anarhichadidae","medium",8006460
"Anarhichas minor",5269,64.24163,68.1215064,49.88,-53.55,"northern_species","Animalia","Chordata","","Perciformes","Anarhichas","Anarhichadidae","medium",2392194
"Anchoa hepsetus",18254,38.15918855,40.55570749,30.2583,-88.091,"southern_range_edge","Animalia","Chordata","","Clupeiformes","Anchoa","Engraulidae","rare",2413913
"Anguilla bicolor",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Anguilliformes","Anguilla","Anguillidae","medium",5712355
"Anisarchus medius",710,63.7182,69.9330303,46.043068,-63.501329,"northern_species","Animalia","Chordata","","Perciformes","Anisarchus","Stichaeidae","medium",2394767
"Anotopterus pharao",51,63.691667,64.708335,42.9435,-61.4203,"northern_species","Animalia","Chordata","","Aulopiformes","Anotopterus","Anotopteridae","rare",2401111
"Anthias nicholsi",232,42.8241657,42.873333,34.9916845,-75.2458325,"possible_warm_water","Animalia","Chordata","","Perciformes","Anthias","Serranidae","rare",2387923
"Apeltes quadracus",7977,48.8537144,50.270778,46.332469,-64.615219,"northern_species","Animalia","Chordata","","Gasterosteiformes","Apeltes","Gasterosteidae","medium",5204681
"Arctozenus risso",7578,61.83185,66.2158691,47.62325,-61.593667,"northern_species","Animalia","Chordata","","Aulopiformes","Arctozenus","Paralepididae","medium",2401551
"Argentina sialis",7,40.72449,43.304898,32.45,-78.45,"southern_range_edge","Animalia","Chordata","","Osmeriformes","Argentina","Argentinidae","rare",5214451
"Argentina silus",17377,47.51,49.59759308,43.216667,-63.35,"northern_species","Animalia","Chordata","","Osmeriformes","Argentina","Argentinidae","medium",5214450
"Argentina striata",466,40.1,43.11655775,29.6665285,-79.9256945,"southern_range_edge","Animalia","Chordata","","Osmeriformes","Argentina","Argentinidae","rare",5214449
"Argyrocottus zanderi",113,45.08565,45.086517,45.077033,-67.088083,"northern_species","Animalia","Chordata","","Scorpaeniformes","Argyrocottus","Cottidae","medium",2334296
"Argyropelecus hemigymnus",1092,43.2469692,60.09,32.2,-67.33159,"northern_species","Animalia","Chordata","","Stomiiformes","Argyropelecus","Sternoptychidae","rare",2347567
"Ariomma bondi",323,42.1831664,43.75967322,35.65,-74.866667,"possible_warm_water","Animalia","Chordata","","Perciformes","Ariomma","Ariommatidae","rare",2399410
"Ariosoma anale",74,35.1201655,41.6931,13.264,-59.7139,"tropical","Animalia","Chordata","","Anguilliformes","Ariosoma","Congridae","rare",2403228
"Artediellus atlanticus",4354,71.301175,75.583333,48.5615,-61.016333,"northern_species","Animalia","Chordata","","Scorpaeniformes","Artediellus","Cottidae","medium",2334289
"Artediellus scaber",94,71.85,72.7932383,49.312,-61.4922,"northern_species","Animalia","Chordata","","Scorpaeniformes","Artediellus","Cottidae","rare",2334273
"Artediellus uncinatus",4326,64.46325025,67.95,46.2734165,-60.346833,"northern_species","Animalia","Chordata","","Scorpaeniformes","Artediellus","Cottidae","medium",2334285
"Aspidophoroides olrikii",1274,67.95,69.351691,62.097,-64.137761,"northern_species","Animalia","Chordata","","Scorpaeniformes","Aspidophoroides","Agonidae","rare",2337217
"Balistes capriscus",21785,29.9386666,39.81720028,24.708433,-81.081633,"tropical","Animalia","Chordata","","Tetraodontiformes","Balistes","Balistidae","medium",2407107
"Balistes vetula",27825,25.4564266,25.66215,24.56225,-80.264267,"tropical","Animalia","Chordata","","Tetraodontiformes","Balistes","Balistidae","rare",2407103
"Bathylagus euryops",1757,69.3329866,72.29372,63.06886,-60.136,"northern_species","Animalia","Chordata","","Osmeriformes","Bathylagus","Bathylagidae","rare",2410971
"Bathyraja spinicauda",1585,68.24,72.1232,49.86,-52.4333,"northern_species","Animalia","Chordata","Elasmobranchii","Rajiformes","Bathyraja","Arhynchobatidae","rare",2420305
"Benthosema glaciale",4245,66.9003336,69.828,42.943667,-61.9844,"northern_species","Animalia","Chordata","","Myctophiformes","Benthosema","Myctophidae","rare",2406057
"Blepsias cirrhosus",1,45.6,45.6,45.6,-61.417,"northern_species","Animalia","Chordata","","Scorpaeniformes","Blepsias","Hemitripteridae","rare",2335095
"Boreogadus saida",22283,72.730003,74.98909,62.12302,-62.934,"northern_species","Animalia","Chordata","","Gadiformes","Boreogadus","Gadidae","medium",2415752
"Bothus ocellatus",18437,27.25,35.9724567999999,24.70385,-81.110067,"tropical","Animalia","Chordata","","Pleuronectiformes","Bothus","Bothidae","rare",5213883
"Brevoortia patronus",81670,30.45,30.63,28.379722,-96.6125,"tropical","Animalia","Chordata","","Clupeiformes","Brevoortia","Clupeidae","medium",5214546
"Brevoortia tyrannus",5421,45.082517,45.2959752,39.187333,-74.949325,"northern_species","Animalia","Chordata","","Clupeiformes","Brevoortia","Clupeidae","medium",5214544
"Brosme brosme",10614,44.2770729,45.533333,42.9389,-66.0003,"northern_species","Animalia","Chordata","","Gadiformes","Brosme","Lotidae","medium",2415505
"Cantherhines pullus",22201,25.5015,25.8281,24.658567,-80.75317,"tropical","Animalia","Chordata","","Tetraodontiformes","Cantherhines","Monacanthidae","rare",2406961
"Capros aper",2,43.3956665,43.5511333,41.646665,-60.0125,"northern_species","Animalia","Chordata","","Perciformes","Capros","Caproidae","rare",2389708
"Carangoides bartholomaei",25383,25.5349097,26.95711394,24.6736,-80.96355,"tropical","Animalia","Chordata","","Perciformes","Carangoides","Carangidae","rare",5210553
"Caranx crysos",35139,28.833333,38.202387,24.5848,-80.21341,"tropical","Animalia","Chordata","","Perciformes","Caranx","Carangidae","rare",2390762
"Caranx hippos",48367,29.9225,35.4,25.237183,-82.77185,"tropical","Animalia","Chordata","","Perciformes","Caranx","Carangidae","rare",2390778
"Carcharodon carcharias",1152,45.996327,63.7182,44.93563,-67.0965,"northern_species","Animalia","Chordata","Elasmobranchii","Lamniformes","Carcharodon","Lamnidae","medium",2420694
"Careproctus longipinnis",59,55.8399997,64.76333314,48.2875,-65.466667,"northern_species","Animalia","Chordata","","Scorpaeniformes","Careproctus","Liparidae","rare",2336182
"Careproctus reinhardti",1530,73.16668515,75.4255628,61.375765,-65.841,"northern_species","Animalia","Chordata","","Scorpaeniformes","Careproctus","Liparidae","rare",2336181
"Centrolophus niger",18,47.650393,50.9167186,43.5404765,-63.92335,"northern_species","Animalia","Chordata","","Perciformes","Centrolophus","Centrolophidae","rare",5212018
"Centropristis striata",8903,41.4029962,42.09992,37.55,-74.72,"possible_warm_water","Animalia","Chordata","","Perciformes","Centropristis","Serranidae","rare",2387483
